timestamp,sol_usd_price,msol_usd_price,spread_pct,baseline_theta_avg,baseline_sigma_avg,theta,sigma,z_score,regime_flag,ltv_with_oracle,ltv_no_oracle,bad_debt_with_oracle,bad_debt_no_oracle
2026-04-13 17:04:00+00:00,76.83946739751579,108.8787827171922,0.4169643075989388,531.096256,0.027944,1e-06,0.058459,1.1626,0,0.4,0.8,4686.27212204094,331.12081335325274
2026-04-13 17:06:00+00:00,77.05677358359473,108.96702062444307,0.41411345890612233,531.096256,0.027944,3.783285,0.060956,0.9876,0,0.4,0.8,4682.742605750905,324.06178077318145
2026-04-13 17:08:00+00:00,77.27407976967369,109.07233058382697,0.41149957280542776,531.096256,0.027944,7.975071,0.06254,0.8302,0,0.4,0.8,4678.530207375549,315.63698402247064
2026-04-13 17:10:00+00:00,77.49138595575263,109.13314109604289,0.40832609650777985,531.096256,0.027944,11.801319,0.064666,0.6534,0,0.4,0.8,4676.097786886912,310.7721430451966
2026-04-13 17:12:00+00:00,77.70869214183158,109.22945653520276,0.40562726671348975,531.096256,0.027944,15.40266,0.065842,0.4996,0,0.4,0.8,4672.245169320518,303.06690791240726
2026-04-13 17:14:00+00:00,77.92599832791052,109.28883548457163,0.4024694945156446,531.096256,0.027944,17.644837,0.067847,0.3251,0,0.4,0.8,4669.870011345763,298.3165919628973
2026-04-13 17:16:00+00:00,78.14330451398948,109.37484516719638,0.3996700785492855,531.096256,0.027944,20.219241,0.069143,0.1656,0,0.4,0.8,4666.429624040772,291.4358173529163
2026-04-13 17:18:00+00:00,78.36061070006842,109.46370527129166,0.3969225647088542,531.096256,0.027944,22.846601,0.070212,0.0055,0,0.4,0.8,4662.875219876962,284.3270090252954
2026-04-13 17:20:00+00:00,78.57791688614736,109.46919403546202,0.3931292451296905,531.096256,0.027944,24.110941,0.072713,-0.2087,0,0.4,0.8,4662.655669310147,283.88790789166524
2026-04-13 17:22:00+00:00,78.7952230722263,109.58240207616844,0.39072392720713,531.096256,0.027944,25.921382,0.073528,-0.3605,0,0.4,0.8,4658.127347681891,274.8312646351533
2026-04-13 17:24:00+00:00,79.01252925830526,109.65077122340075,0.3877643489291922,531.096256,0.027944,27.781009,0.074675,-0.5449,0,0.4,0.8,4655.392581792597,269.36173285656696
2026-04-13 17:26:00+00:00,79.22983544438421,109.71724717547545,0.38479711033215563,531.096256,0.027944,27.204259,0.076407,-0.7363,0,0.4,0.8,4652.733543709609,264.04365669059007
2026-04-13 17:28:00+00:00,79.44714163046315,109.80062725534728,0.38205887590102316,531.096256,0.027944,27.979213,0.077467,-0.9178,0,0.4,0.8,4649.398340514736,257.37325030084503
2026-04-13 17:30:00+00:00,79.6644478165421,109.93102231785225,0.379925742672698,531.096256,0.027944,25.941589,0.078606,-1.0722,0,0.4,0.8,4644.182538014537,246.9416453004469
2026-04-13 17:32:00+00:00,79.88175400262105,109.91851169928017,0.3760152499364695,531.096256,0.027944,23.456861,0.081015,-1.3158,0,0.4,0.8,4644.682962757421,247.9424947862135
2026-04-13 17:34:00+00:00,80.0990601887,110.04887293185543,0.3739096647650882,531.096256,0.027944,21.398292,0.0819,-1.4586,0,0.4,0.8,4639.468513454411,237.51359618019342
